quarter,density,assortativity,clustering,efficiency,modularity,diameter
2018Q1,0.20677361853832443,-0.04941402234253995,0.3738912231559291,0.5623885918003578,-0.03924861383913451,4
2018Q2,0.21763869132290184,0.016677513830133377,0.42303624152955727,0.57124229492651,0.006731594092807422,4
2018Q3,0.2558139534883721,0.09017575237712826,0.4777119198320204,0.6013037350246659,0.04244776525972384,4
2018Q4,0.34308510638297873,0.07756688493286103,0.5142350995372268,0.658466312056734,0.05197682025137919,4
2019Q1,0.28582202111613875,0.15989771460237556,0.5301647298884962,0.6247486173956722,0.12082769364482887,4
2019Q2,0.2531328320802005,0.22075981826797114,0.5502361025126373,0.6000939849623996,0.22904957387644476,4
2019Q3,0.23758320532514082,0.2111533017638545,0.5108628516980442,0.5939580133128544,0.2510942372492519,4
2019Q4,0.22695346795434593,0.22821421907072206,0.5064473576520134,0.5840283874744026,0.2791915413112995,4
2020Q1,0.24468468468468468,0.24254255817585513,0.5257770449139317,0.5988288288288415,0.29428242078332034,4
2020Q2,0.2204155374887082,0.2690026664917821,0.5371105161834103,0.5851902037539016,0.3183156593879755,4
2020Q3,0.1875156054931336,0.2737955903335116,0.5165666530535711,0.5636704119850149,0.3310888305905574,4
2020Q4,0.13771821548227825,0.33946612099680734,0.4270402254208731,0.5114206783047901,0.3498863252774144,5
2021Q1,0.11079308288610615,0.36796351358161566,0.4035697299931281,0.47993241900213635,0.37359419508708464,5
2021Q2,0.1055187637969095,0.40615581231436704,0.42052688758040396,0.49311699779254475,0.39675160181037566,5
2021Q3,0.08115408225905464,0.37937778548528156,0.4021602375070334,0.4645078780439002,0.35336922933898973,5
2021Q4,0.07392936489695856,0.42396476114403037,0.39522658448257336,0.4562325573758442,0.3533035962356222,7
2022Q1,0.0610967979389032,0.4336340740790349,0.37942397011041307,0.4370065022695744,0.367618216958878,5
2022Q2,0.04624327607149054,0.440139686385867,0.3528841959272421,0.40637845698774133,0.3561272429979916,7
2022Q3,0.0389817393995667,0.48091427857096125,0.332975677210286,0.3868187646462465,0.369188104503002,7
2022Q4,0.036070692763327326,0.49101955480028475,0.33014915262256816,0.3820943781197104,0.36351882810331027,7
